Date,Open,High,Low,Close,Adj Close,Volume
1987-06-01,2309.620117,2319.780029,2277.000000,2288.229980,2288.229980,15680000
1987-06-02,2287.469971,2306.429932,2260.620117,2278.219971,2278.219971,16740000
1987-06-03,2292.169922,2330.100098,2283.370117,2320.689941,2320.689941,18030000
1987-06-04,2323.419922,2343.449951,2308.709961,2337.080078,2337.080078,13840000
1987-06-05,2335.409912,2346.330078,2312.350098,2326.149902,2326.149902,14120000
1987-06-08,2320.389893,2362.709961,2306.889893,2351.639893,2351.639893,13750000
1987-06-09,2357.100098,2366.050049,2331.770020,2352.699951,2352.699951,16780000
1987-06-10,2362.860107,2389.709961,2328.580078,2353.610107,2353.610107,23320000
1987-06-11,2366.500000,2380.459961,2341.929932,2360.129883,2360.129883,17390000
1987-06-12,2379.100098,2399.419922,2360.739990,2377.729980,2377.729980,19610000
1987-06-15,2393.360107,2409.439941,2374.389893,2391.540039,2391.540039,18160000
1987-06-16,2391.330078,2415.360107,2376.100098,2407.350098,2407.350098,19090000
1987-06-17,2412.850098,2427.290039,2390.699951,2407.350098,2407.350098,21560000
1987-06-18,2397.139893,2419.909912,2386.459961,2408.129883,2408.129883,19300000
1987-06-19,2409.699951,2431.850098,2395.260010,2420.850098,2420.850098,33310000
1987-06-22,2428.389893,2457.290039,2417.399902,2445.510010,2445.510010,23430000
1987-06-23,2454.239990,2466.040039,2421.719971,2439.729980,2439.729980,26680000
1987-06-24,2431.280029,2454.080078,2415.340088,2428.409912,2428.409912,20730000
1987-06-25,2438.459961,2460.139893,2430.330078,2451.050049,2451.050049,16770000
1987-06-26,2439.250000,2453.919922,2423.629883,2436.860107,2436.860107,16440000
1987-06-29,2437.659912,2460.300049,2423.790039,2446.909912,2446.909912,16890000
1987-06-30,2448.179932,2456.310059,2401.149902,2418.530029,2418.530029,21370000
1987-07-01,2410.080078,2430.800049,2391.260010,2409.760010,2409.760010,18530000
1987-07-02,2425.379883,2446.270020,2415.659912,2436.699951,2436.699951,17820000
1987-07-06,2448.340088,2460.300049,2412.949951,2429.530029,2429.530029,21380000
1987-07-07,2431.439941,2467.629883,2425.060059,2449.780029,2449.780029,24930000
1987-07-08,2452.169922,2476.239990,2432.560059,2463.969971,2463.969971,25010000
1987-07-09,2462.370117,2478.479980,2441.169922,2451.209961,2451.209961,18360000
1987-07-10,2456.469971,2470.500000,2435.909912,2455.989990,2455.989990,21150000
1987-07-13,2456.310059,2470.340088,2427.139893,2452.969971,2452.969971,21050000
1987-07-14,2455.840088,2492.979980,2442.600098,2481.350098,2481.350098,24400000
1987-07-15,2468.429932,2502.229980,2455.199951,2483.739990,2483.739990,25820000
1987-07-16,2496.969971,2511.479980,2471.780029,2496.969971,2496.969971,29670000
1987-07-17,2506.219971,2533.639893,2485.649902,2510.040039,2510.040039,32120000
1987-07-20,2497.929932,2512.280029,2476.879883,2487.820068,2487.820068,16540000
1987-07-21,2479.590088,2500.159912,2444.669922,2467.949951,2467.949951,21470000
1987-07-22,2472.580078,2488.679932,2448.500000,2470.179932,2470.179932,20330000
1987-07-23,2470.179932,2492.669922,2447.070068,2471.939941,2471.939941,19080000
1987-07-24,2471.939941,2494.899902,2462.530029,2485.330078,2485.330078,15620000
1987-07-27,2486.449951,2511.639893,2468.750000,2493.939941,2493.939941,14200000
1987-07-28,2515.149902,2537.149902,2489.320068,2519.770020,2519.770020,27680000
1987-07-29,2522.800049,2548.469971,2501.590088,2539.540039,2539.540039,27380000
1987-07-30,2543.850098,2576.850098,2527.419922,2567.439941,2567.439941,27200000
1987-07-31,2566.489990,2588.330078,2551.020020,2572.070068,2572.070068,20980000
1987-08-03,2547.830078,2585.300049,2536.669922,2557.080078,2557.080078,21750000
1987-08-04,2553.729980,2568.719971,2525.989990,2546.719971,2546.719971,19280000
1987-08-05,2553.409912,2586.580078,2540.979980,2566.649902,2566.649902,24970000
1987-08-06,2570.629883,2600.919922,2551.820068,2594.229980,2594.229980,26900000
1987-08-07,2591.040039,2611.929932,2576.209961,2592.000000,2592.000000,24460000
1987-08-10,2596.620117,2640.149902,2587.850098,2635.840088,2635.840088,21550000
1987-08-11,2646.209961,2691.959961,2635.520020,2680.479980,2680.479980,40090000
1987-08-12,2670.600098,2700.729980,2648.600098,2669.320068,2669.320068,34210000
1987-08-13,2673.949951,2714.919922,2656.570068,2691.489990,2691.489990,27490000
1987-08-14,2675.219971,2713.330078,2660.080078,2685.429932,2685.429932,23050000
1987-08-17,2688.459961,2713.969971,2674.429932,2700.570068,2700.570068,21280000
1987-08-18,2681.919922,2691.010010,2626.590088,2654.659912,2654.659912,28780000
1987-08-19,2645.250000,2676.179932,2628.189941,2665.820068,2665.820068,20850000
